Epoch,Train Loss,Validation Loss
0,6.363993014608111,6.222565333048503
1,6.027727995600019,5.859563668568929
2,5.6615734951836725,5.46217679977417
3,5.249441649232592,5.006507158279419
4,4.776941001415253,4.486408948898315
5,4.239938740219388,3.8953781922658286
6,3.637262271983283,3.2515618403752646
7,3.004424729517528,2.590109348297119
8,2.3815333992242813,1.99399729569753
9,1.8655694212232317,1.6028758684794109
10,1.5787915395838874,1.4696784615516663
11,1.4784488656691142,1.452981690565745
12,1.457902369754655,1.4530577460924785
13,1.447545355984143,1.4459742108980815
14,1.4480127670935221,1.4383303324381511
eval,1.400323286652565,1.4456548690795898
