Epoch,Train Loss,Validation Loss
0,6.3736965911729,6.268448114395142
1,6.095172464847565,5.933499813079834
2,5.698544868401119,5.437303225199382
3,5.108096020562308,4.708111047744751
4,4.2774524348122736,3.7234140634536743
5,3.21345916390419,2.544631044069926
6,2.091093205979892,1.6057344675064087
7,1.5190647691488266,1.4595715602238972
8,1.453470623918942,1.4571134448051453
9,1.4428040789706367,1.450655996799469
10,1.4353540859052114,1.445576806863149
11,1.4284371925251824,1.4362077315648396
12,1.4193931818008423,1.431184192498525
13,1.4195381551980972,1.4209187626838684
14,1.4109863894326347,1.419654369354248
eval,1.372505083680153,1.421409249305725
