Epoch,Train Loss,Validation Loss
0,6.3111783521515985,6.172007163365682
1,5.992870892797198,5.8177298704783125
2,5.61492441381727,5.381828149159749
3,5.170077971049717,4.905139048894246
4,4.700339428016117,4.418963114420573
5,4.209639259747097,3.905823548634847
6,3.6987861352307454,3.3763357400894165
7,3.1721761652401517,2.8427509466807046
8,2.654721200466156,2.3308165868123374
9,2.175011756164687,1.891724665959676
10,1.7949300642524446,1.6042336225509644
11,1.573547899723053,1.4792895317077637
12,1.4772058193172728,1.446894923845927
13,1.4474955137286867,1.4430812001228333
14,1.437007697565215,1.440418303012848
eval,1.399488389492035,1.4441642761230469
