Epoch,Train Loss,Validation Loss
0,6.232976181166513,6.023569981257121
1,5.754227459430695,5.469774961471558
2,5.135795959404537,4.741984923680623
3,4.335495433637074,3.8409366607666016
4,3.38952973484993,2.8267250458399453
5,2.403851268546922,1.905522306760152
6,1.6746548669678825,1.4862956603368123
7,1.4575371657099043,1.4533907771110535
8,1.4338142999580927,1.455128252506256
9,1.437070410166468,1.447590132554372
10,1.428976554955755,1.4424523711204529
11,1.4260593141828264,1.4350581169128418
12,1.4196091102702277,1.4336068034172058
13,1.4129211455583572,1.4257843097050984
14,1.4095453662531716,1.4245091676712036
eval,1.3768331110477448,1.4260425567626953
