Epoch,Train Loss,Validation Loss
0,6.327889144420624,6.272397677103679
1,6.139921188354492,6.023090839385986
2,5.837229609489441,5.625974416732788
3,5.324121270860944,4.943310737609863
4,4.488313930375235,3.880096435546875
5,3.289682528802327,2.502910335858663
6,2.0220931002071927,1.51983243227005
7,1.4915465669972556,1.4648881554603577
8,1.459753692150116,1.4550126791000366
9,1.4496826870100838,1.4454143047332764
10,1.4401807827608926,1.4441460967063904
11,1.43820358812809,1.4338474074999492
12,1.425353188599859,1.425892949104309
13,1.419434360095433,1.419910987218221
14,1.4141488458429063,1.4165722330411274
eval,1.369048848748207,1.4172712564468384
