Epoch,Train Loss,Validation Loss
0,6.072709390095302,5.804813226064046
1,5.516129800251552,5.228088299433391
2,4.948503179209573,4.634168783823649
3,4.362944922276905,4.021463712056478
4,3.7583940710340227,3.398727297782898
5,3.154607049056462,2.787954250971476
6,2.562274698700224,2.223155458768209
7,2.0534399960722243,1.7785930236180623
8,1.686315928186689,1.5313518047332764
9,1.5057379752397537,1.45760973294576
10,1.447803060923304,1.4425416986147563
11,1.4362179679530007,1.4424990216890972
12,1.4346912418093,1.439135471979777
13,1.4318087037120546,1.432643453280131
14,1.4266741169350488,1.4288453062375386
eval,1.3849046677350998,1.4308421611785889
